Project,Test,PullRequest,Location,Table5Categroy,Table7Categroy
ProjD,TEST-1212,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1215,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1216,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1211,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1214,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1210,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1213,PR-24,test,Async Wait;,Callbacks;
ProjD,TEST-1235,PR-25,both,Async Wait;,Increase_wait_timeout;
ProjD,TEST-1701,PR-26,test,Async wait;,Unclear;
ProjD,TEST-1699,PR-27,both,Async wait;I/O,Polling;
ProjC,TEST-773,PR-28,test,Async wait;,Removing_code;
ProjC,TEST-771,PR-28,test,Async wait;,Removing_code;
ProjC,TEST-779,PR-29,test,Async wait;,Removing_code;
ProjC,TEST-780,PR-29,test,Async wait;,Removing_code;
ProjC,TEST-778,PR-29,test,Async wait;,Removing_code;
ProjC,TEST-727,PR-30,both,Async wait;,Callbacks;Increase_wait_timeout
ProjE,TEST-1893,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1892,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1891,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1890,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1889,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1888,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1887,PR-31,test,Async wait;Network,Mocking;
ProjE,TEST-1886,PR-31,test,Async wait;Network,Mocking;
ProjD,TEST-829,PR-32,test,Async wait;,;
ProjE,TEST-1896,PR-33,both,Async wait;,Removing_code;
ProjE,TEST-1950,PR-33,both,Async wait;,Removing_code;
ProjE,TEST-1985,PR-33,both,Async wait;,Removing_code;
ProjE,TEST-1961,PR-33,both,Async wait;,Removing_code;
ProjD,TEST-814,PR-34,test,Async wait;,Unclear;
ProjD,TEST-940,PR-34,test,Async wait;,Unclear;
ProjD,TEST-913,PR-34,test,Async wait;,Unclear;
ProjD,TEST-806,PR-34,test,Async wait;,Unclear;
ProjD,TEST-1231,PR-35,test,Async wait;,Removing_code;
ProjE,TEST-1901,PR-36,test,Concurrency;,;
ProjE,TEST-1930,PR-36,test,Concurrency;,;
ProjE,TEST-1924,PR-36,test,Concurrency;,;
ProjE,TEST-1922,PR-37,test,Concurrency;,;
ProjD,TEST-1036,PR-38,test,Concurrency;,;
ProjC,TEST-776,PR-39,test,Concurrency;,;
ProjD,TEST-1192,PR-40,test,Concurrency;,;
ProjA,TEST-363,PR-41,test,Floating point;,;
ProjD,TEST-1021,PR-42,test,I/O;,;
ProjD,TEST-1025,PR-42,test,I/O;,;
ProjD,TEST-1203,PR-43,test,Network;,;
ProjD,TEST-1202,PR-43,test,Network;,;
ProjE,TEST-1912,PR-44,test,Network;Concurrency,;
ProjE,TEST-1909,PR-45,test,Network;,;
ProjE,TEST-1904,PR-45,test,Network;,;
ProjE,TEST-1900,PR-45,test,Network;,;
ProjD,TEST-840,PR-46,test,Resource leak;,;
ProjD,TEST-851,PR-46,test,Resource leak;,;
ProjD,TEST-846,PR-46,test,Resource leak;,;
ProjD,TEST-852,PR-46,test,Resource leak;,;
ProjA,TEST-364,PR-47,both,Time;,;
ProjD,TEST-861,PR-48,test,Time;,;
ProjC,TEST-725,PR-49,test,Time;,;
ProjE,TEST-1921,PR-50,test,Time;Floating point,;
ProjF,TEST-2063,PR-51,both,Unclear;,;
ProjE,TEST-1939,PR-52,test,Unclear;,;
ProjE,TEST-1932,PR-53,test,Unclear;,;
ProjE,TEST-1902,PR-53,test,Unclear;,;
ProjD,TEST-1049,PR-54,Unclear,Unclear;,;
ProjD,TEST-1048,PR-54,Unclear,Unclear;,;
ProjD,TEST-1047,PR-54,Unclear,Unclear;,;
ProjD,TEST-1046,PR-54,Unclear,Unclear;,;
ProjD,TEST-1045,PR-54,Unclear,Unclear;,;
ProjD,TEST-1044,PR-54,Unclear,Unclear;,;
ProjD,TEST-1043,PR-54,Unclear,Unclear;,;
ProjD,TEST-1041,PR-54,Unclear,Unclear;,;
ProjD,TEST-1040,PR-54,Unclear,Unclear;,;
ProjD,TEST-1039,PR-54,Unclear,Unclear;,;
ProjD,TEST-1038,PR-54,Unclear,Unclear;,;
ProjD,TEST-1042,PR-55,Unclear,Unclear;,;
ProjD,TEST-1049,PR-56,Unclear,Unclear;,;
ProjD,TEST-1048,PR-56,Unclear,Unclear;,;
ProjD,TEST-1047,PR-56,Unclear,Unclear;,;
ProjD,TEST-1046,PR-56,Unclear,Unclear;,;
ProjD,TEST-1045,PR-56,Unclear,Unclear;,;
ProjD,TEST-1044,PR-56,Unclear,Unclear;,;
ProjD,TEST-1043,PR-56,Unclear,Unclear;,;
ProjD,TEST-1041,PR-56,Unclear,Unclear;,;
ProjD,TEST-1040,PR-56,Unclear,Unclear;,;
ProjD,TEST-1039,PR-56,Unclear,Unclear;,;
ProjD,TEST-1038,PR-56,Unclear,Unclear;,;
ProjD,TEST-1018,PR-56,Unclear,Unclear;,;
ProjD,TEST-1017,PR-56,Unclear,Unclear;,;
ProjD,TEST-1701,PR-57,both,Unclear;,;
ProjD,TEST-1474,PR-58,test,Unclear;,;
ProjD,TEST-1472,PR-58,test,Unclear;,;
ProjD,TEST-1470,PR-58,test,Unclear;,;
ProjD,TEST-1247,PR-58,test,Unclear;,;
ProjD,TEST-1469,PR-58,test,Unclear;,;
ProjD,TEST-1246,PR-58,test,Unclear;,;
ProjD,TEST-1468,PR-58,test,Unclear;,;
ProjD,TEST-1466,PR-58,test,Unclear;,;
ProjD,TEST-1166,PR-59,Unclear,Unclear;,;
ProjD,TEST-829,PR-60,test,Async Wait;I/O,Callbacks;
